성산 일출봉,좋아요,분화구 정말 신기해요. 다 나무데크 깔아놨고 깨끗하지만 어린아이들은 오르기 힘들 것 같아요. 만24세까지는 청소년요금이니 신분증 챙기세요,1,1,2017/02,5,겨울
성산 일출봉,올라가면 기분 좋습니다~,"20-30분 걸어올라가면 정상에 도착합니다. 꽤 힘들지만, 올라가면 뿌듯합니다. 올라가는 도중에 중국 사람이 많아 중국인가 헷갈릴 정도 입니다.",1,2,2017/02,5,겨울
성산 일출봉,추웠습니다,"날씨는 좋았으나, 살짝 추웠네요
가족들과 등반하지는 못하였고 주변 볼만한 자연경관이있어 괜찮았네요",1,3,2017/02,2,겨울
성산 일출봉,두번 가봤는데 너무 좋았어요.,"무더운 여름.. 그리고 추운 초겨울에 가봤는데 다 좋았네요.
땀을 비오듯 쏟으며 올라갔는데 정상은 바람도 많이 불고 시원했구요. 말로 형용할 수 없는 감동을 주니 꼭 한번 가보세요.
올라가봐야 알아요. 올라가는 것도 그렇게 어렵지 않아요. 물론 더운 여름엔 더워서 좀 힘들겠지만요. 올라가는거 20분정도 걸렸던거 같구요. 위에서 멍하게 한 두시간 정도 앉아있다 왔네요.",1,4,2016/08,5,여름
성산 일출봉,역시 해뜰때 봐야죠,해뜰때 보거나 혹은 해가지고나서 주변 야경을 볼때 가야합니다. 입장료 2000원이 아깝지 않습니다.,1,5,2016/05,5,봄
성산 일출봉,계단이 많음,정상까지 올라가는데 계단이 많아 힘들 수 있습니다. 관광객이 많아 다소 시끄럽습니다. 정상에서 보는 전망은 일출 뿐 아니라 일몰도 좋습니다. 다만 일몰 후 1시간 이후에 문을 닫습니다.,1,6,2017/01,4,겨울
성산 일출봉,힘들지만 굿,"올라가느라 힘들고 중국인들에 치인거 빼고는 뷰도 좋앗고 멋진곳입니다.
다음번 방문에는 멀리서 바라보는것으로 만족할듯",1,7,2016/03,5,봄
성산 일출봉,쭝궈런너무많음,"정말 이것만 보면 예쁜데, 중국인 관광객들이 너무 가다가 사진 찍으면서 길을 막아버림 가는 코스는 여자 둘이 두칸씩 걸어 올라가서 왕복 20분컷",1,8,2016/02,5,겨울
성산 일출봉,속이 시원하네요,"도시속에서 갇혀만 살다가 정상까지 오르니 속이 시원합니다. 왕복 45분정도 걸렸고, 조금의 인내심만 있다면 갈수있습니다. 아이들도, 연세 있으신 어르신들도 가네요",1,9,2017/01,5,겨울
성산 일출봉,1월 1일 일몰 구경,"생각외로 정상까지의 등산길이 힘듭니다. 경사도 가파르고 계단도 높은 편입니다.
올라갈때 주위 풍경이 잘 안보입니다. 숨이 벅차서
그래도 막판에 가파른 계단을 올라가면 눈앞에 일출봉 분화구와 바다가 펼쳐지는데
시야가 확 트이면서 감탄사가 나옵니다. 앞으로는 바다가 펼쳐져 있고
뒤로는 성산 시내가 보이는데 참 좋습니다.
그리고 진짜 물 마시는 곳이 없으니 등산 전 물을 준비하시기 바랍니다.",1,10,2017/01,5,겨울
성산 일출봉,새해맞이 성산일출봉,"새해을 맞아 12월 31일에 성산일출봉을 방문하였습니다. 갈때마다 느끼지만 웅장한 자연경관에 항상 모든 스트레스가 날라갑니다.
31일은 새해맞이행사로 입장료도 무료입니다.
다양한 공연도하도 행사도 진행해서 볼거리가 많습니다. 한라봉 음료가 맛있긴한데 4천원은 좀 비싼거 같습니다.",1,11,2016/12,5,겨울
성산 일출봉,유네스코 자연유산의 경치,"올라가는데 20분이면 충분하고 정말 힘들다 싶을때 정상 도착! 내려다보는 광경이 너무 멋집니다. 섭지코지, 우도 한라산까지 다 보입니다.",1,12,2016/10,5,가을
성산 일출봉,한해의 끝과 시작,"성산 일출봉은 자연이 만든 곳입니다.

적당한거리와 일출과 일몰을 감상하기 좋은곳으로 특히 년말 년초에 사람들이 많이 찾습니다.

소원을 빌어보세요",1,13,2016/12,4,겨울
